2024-03-18 19:40:54,127 INFO    wandb-upload_0:3257 [upload_job.py:push():89] Uploaded file /home/eynardmaxime1/.local/share/wandb/artifacts/staging/tmpaeouvb9o
2024-03-18 19:40:56,701 DEBUG   HandlerThread:3257 [handler.py:handle_request():146] handle_request: keepalive
2024-03-18 19:40:57,581 INFO    SenderThread:3257 [sender.py:send_request_log_artifact():1431] logged artifact yolov8_n_2_16_0.01.pt - {'id': 'QXJ0aWZhY3Q6NzYxNzE1MDQ2', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjE1MDEwMTQ4NA==', 'latestArtifact': None}}
2024-03-18 19:40:57,581 DEBUG   SenderThread:3257 [sender.py:send():378] send: telemetry
2024-03-18 19:40:57,581 DEBUG   SenderThread:3257 [sender.py:send():378] send: exit
2024-03-18 19:40:57,581 INFO    SenderThread:3257 [sender.py:send_exit():585] handling exit code: 0
2024-03-18 19:40:57,581 INFO    SenderThread:3257 [sender.py:send_exit():587] handling runtime: 0
2024-03-18 19:40:57,583 DEBUG   HandlerThread:3257 [handler.py:handle_request():146] handle_request: status_report
2024-03-18 19:40:57,584 INFO    SenderThread:3257 [sender.py:_save_file():1365] saving file wandb-summary.json with policy end
2024-03-18 19:40:57,584 INFO    SenderThread:3257 [sender.py:send_exit():593] send defer
2024-03-18 19:40:57,584 DEBUG   SenderThread:3257 [sender.py:send_request():405] send_request: poll_exit
2024-03-18 19:40:57,584 DEBUG   HandlerThread:3257 [handler.py:handle_request():146] handle_request: defer
2024-03-18 19:40:57,584 INFO    HandlerThread:3257 [handler.py:handle_request_defer():172] handle defer: 0
2024-03-18 19:40:57,585 DEBUG   SenderThread:3257 [sender.py:send_request():405] send_request: defer
2024-03-18 19:40:57,585 INFO    SenderThread:3257 [sender.py:send_request_defer():609] handle sender defer: 0
2024-03-18 19:40:57,585 INFO    SenderThread:3257 [sender.py:transition_state():613] send defer: 1
2024-03-18 19:40:57,585 DEBUG   HandlerThread:3257 [handler.py:handle_request():146] handle_request: defer
2024-03-18 19:40:57,585 INFO    HandlerThread:3257 [handler.py:handle_request_defer():172] handle defer: 1
2024-03-18 19:40:57,585 DEBUG   SenderThread:3257 [sender.py:send_request():405] send_request: defer
2024-03-18 19:40:57,585 INFO    SenderThread:3257 [sender.py:send_request_defer():609] handle sender defer: 1
2024-03-18 19:40:57,586 INFO    SenderThread:3257 [sender.py:transition_state():613] send defer: 2
2024-03-18 19:40:57,586 DEBUG   HandlerThread:3257 [handler.py:handle_request():146] handle_request: defer
2024-03-18 19:40:57,586 INFO    HandlerThread:3257 [handler.py:handle_request_defer():172] handle defer: 2
2024-03-18 19:40:57,586 INFO    HandlerThread:3257 [system_monitor.py:finish():203] Stopping system monitor
