                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0269,                 3.4728,                 1.6774,                0.49553,                0.20787,                0.21156,                0.11284,                 1.7027,                 2.8562,                 1.3795,             0.00040741,             0.00040741,             0.00040741
                      2,                 1.6027,                 2.0876,                 1.2584,                0.28764,                0.49859,                0.33106,                0.17427,                 1.6217,                 1.7827,                 1.2739,             0.00082203,             0.00082203,             0.00082203
                      3,                 1.5247,                 1.4699,                 1.2341,                0.52894,                0.62125,                0.55801,                0.31535,                 1.4047,                 1.5668,                 1.2768,              0.0012346,              0.0012346,              0.0012346
